takilman,"	takilmen
"
merriness,"	merrinesses
"
gulch,"	gulches
"
lithuania,"	lithuanias
"
interestingness,"	interestingnesses
"
vindictiveness,"	vindictivenesses
"
officiousness,"	officiousnesses
"
serviceableness,"	serviceablenesses
"
collateral,"	collaterals
"
incompetency,"	incompetencies
"
invent,"	invents
"
akinesis,"	akineses
"
metatarsal,"	metatarsals
"
ricketiness,"	ricketinesses
"
blebby,"	blebbies
"
spate,"	spates
"
heiress,"	heiresses
"
metalepsis,"	metalepses
"
gracilariid,"	gracilariids
"
anthropophagy,"	anthropophagies
"
celery,"	celeries
"
bashfulness,"	bashfulnesses
"
heterogenesis,"	heterogeneses
"
dysarthria,"	dysarthrias
"
creaminess,"	creaminesses
"
skivvy,"	skivvies
"
syllabicity,"	syllabicities
"
moneygrubber,"	moneygrubbers
"
lifework,"	lifeworks
"
assuredness,"	assurednesses
"
cycloserine,"	cycloserines
"
admirability,"	admirabilities
"
osteosclerosis,"	osteoscleroses
"
wycliffe,"	wycliffes
"
bartonia,"	bartonias
"
quadriphonic,"	quadriphonics
"
voluminosity,"	voluminosities
"
advocacy,"	advocacies
"
cosmetology,"	cosmetologies
"
csis,"	cses
"
bletilla,"	bletillas
"
trainbandsman,"	trainbandsmen
"
flatus,"	flatuss
"
treachery,"	treacheries
"
tenancy,"	tenancies
"
immediateness,"	immediatenesses
"
sorry,"	sorries
"
halifax,"	halifaxes
"
stationer,"	stationers
"
prise,"	prises
"
cardiopathy,"	cardiopathies
"
giardiasis,"	giardiases
"
pseudosmallpox,"	pseudosmallpox
"
readmit,"	readmits
"
gagman,"	gagmen
"
nimiety,"	nimieties
"
anastomosis,"	anastomoses
"
callosectomy,"	callosectomies
"
concreteness,"	concretenesses
"
compliance,"	compliances
"
inadvertency,"	inadvertencies
"
canakin,"	canakins
"
duskiness,"	duskinesses
"
montesquieu,"	montesquieu
"
placeman,"	placemen
"
improbability,"	improbabilities
"
flummery,"	flummeries
"
goethe,"	goethes
"
wristwatch,"	wristwatches
"
glyptography,"	glyptographies
"
bowditch,"	bowditches
"
physiography,"	physiographies
"
decoction,"	decoctions
"
agelessness,"	agelessnesses
"
bollix,"	bollixes
"
femur,"	femurs
"
voteless,"	votelesses
"
magnanimousness,"	magnanimousnesses
"
scaphiopus,"	scaphiopera
"
ampleness,"	amplenesses
"
waxflower,"	waxflowers
"
heckelphone,"	heckelphones
"
moneyless,"	moneylesses
"
whiffletree,"	whiffletrees
"
jugglery,"	juggleries
"
gelatinousness,"	gelatinousnesses
"
fervency,"	fervencies
"
tamar,"	tamars
"
disloyalty,"	disloyalties
"
phraseology,"	phraseologies
"
eyeball,"	eyeballs
"
royalty,"	royalties
"
pursy,"	pursies
"
palaestra,"	palaestras
"
acariasis,"	acariases
"
clanswoman,"	clanswomen
"
havelock,"	havelocks
"
aristocracy,"	aristocracies
"
berserker,"	berserkers
"
pinch,"	pinches
"
triangularity,"	triangularities
"
stick,"	sticks
"
adulteress,"	adulteresses
"
enlightenment,"	enlightenments
"
gyrocompass,"	gyrocompasses
"
masrekah,"	masrekahs
"
glottochronology,"	glottochronologies
"
dragoman,"	dragomen
"
phytology,"	phytologies
"
norse,"	norses
"
transaminate,"	transaminates
"
portmanteau,"	portmanteaux
"
bogeyman,"	bogeymen
"
enclosure,"	enclosures
"
athrotaxis,"	athrotaxes
"
ammonify,"	ammonifies
"
harshly,"	harshlies
"
personality,"	personalities
"
anovulation,"	anovulations
"
damozel,"	damozels
"
nobody,"	nobodies
"
subversiveness,"	subversivenesses
"
ranch,"	ranches
"
liriope,"	liriopes
"
shellbark,"	shellbarks
"
glycolysis,"	glycolyses
"
plasmapheresis,"	plasmaphereses
"
kiswahili,"	kiswahilis
"
cumber,"	cumbers
"
gimcrackery,"	gimcrackeries
"
needlebush,"	needlebushes
"
businessperson,"	businesspeople
"
lordless,"	lordlesses
"
eparchy,"	eparchies
"
preoccupancy,"	preoccupancies
"
principe,"	principes
"
petauristidae,"	petauristidaes
"
aptness,"	aptnesses
"
extravert,"	extraverts
"
murdoch,"	murdoches
"
loamless,"	loamlesses
"
gnash,"	gnashes
"
batty,"	batties
"
radiancy,"	radiancies
"
favourableness,"	favourablenesses
"
bycatch,"	bycatches
"
domatium,"	domatiums
"
stemless,"	stemlesses
"
object,"	objects
"
pane,"	panes
"
crake,"	crakes
"
profligacy,"	profligacies
"
whiteface,"	whitefaces
"
pernis,"	perniss
"
savourless,"	savourlesses
"
lividness,"	lividnesses
"
pedesis,"	pedeses
"
spiritless,"	spiritlesses
"
hopeless,"	hopelesses
"
angiogenesis,"	angiogeneses
"
senseless,"	senselesses
"
sciaridae,"	sciaridaes
"
desex,"	desexes
"
hebrew,"	hebrews
"
pectin,"	pectins
"
hemolysis,"	hemolyses
"
hall,"	halls
"
faddy,"	faddies
"
corse,"	corses
"
tyrannus,"	tyrannuss
"
foot,"	feet
"
kiliwa,"	kiliwas
"
overdramatize,"	overdramatizes
"
jamberry,"	jamberries
"
assiduity,"	assiduities
"
mesentery,"	mesenteries
"
mucoviscidosis,"	mucoviscidoses
"
memberless,"	memberlesses
"
sadness,"	sadnesses
"
surpass,"	surpasses
"
rot,"	rots
"
weightiness,"	weightinesses
"
lymphocytosis,"	lymphocytoses
"
ontology,"	ontologies
"
tabour,"	tabours
"
seraph,"	seraphim
"
patsy,"	patsies
"
pisanosaurus,"	pisanosauruss
"
mastigomycotina,"	mastigomycotinas
"
ruf,"	rufs
"
pyrex,"	pyrexes
"
ketchup,"	ketchup
"
beginner,"	beginners
"
agrimony,"	agrimonies
"
dallisgrass,"	dallisgrasses
"
necrology,"	necrologies
"
woman,"	women
"
claystone,"	claystones
"
dejectedness,"	dejectednesses
"
plumb,"	plumbs
"
thermotherapy,"	thermotherapies
"
ambitionless,"	ambitionlesses
"
repository,"	repositories
"
supermarketer,"	supermarketers
"
gooseberry,"	gooseberries
"
chokecherry,"	chokecherries
"
elasmobranch,"	elasmobranches
"
gabardine,"	gabardines
"
carroty,"	carroties
"
musicology,"	musicologies
"
recriminatory,"	recriminatories
"
resourcefulness,"	resourcefulnesses
"
devonshire,"	devonshires
"
santos,"	santoss
"
cheaply,"	cheaplies
"
papaveraceae,"	papaveraceaes
"
garbology,"	garbologies
"
mendanna,"	mendannas
"
phycomycosis,"	phycomycoses
"
krasner,"	krasners
"
finality,"	finalities
"
strapless,"	straplesses
"
absentmindedness,"	absentmindednesses
"
psychoneurosis,"	psychoneuroses
"
information,"	information
"
circuit,"	circuits
"
chumminess,"	chumminesses
"
cosignatory,"	cosignatories
"
miro,"	miroes
"
cashbox,"	cashboxes
"
rationalness,"	rationalnesses
"
puerto,"	puertoes
"
mooo,"	mooos
"
maffia,"	maffias
"
culex,"	culexes
"
degeneracy,"	degeneracies
"
leniency,"	leniencies
"
simpleness,"	simplenesses
"
inouye,"	inouyes
"
occurrent,"	occurrents
"
crystallography,"	crystallographies
"
caviller,"	cavillers
"
dogsbody,"	dogsbodies
"
warner,"	warners
"
succulency,"	succulencies
"
bagman,"	bagmen
"
chevvy,"	chevvies
"
vulcanology,"	vulcanologies
"
welch,"	welches
"
autism,"	autisms
"
subdivider,"	subdividers
"
lanky,"	lankies
"
disgustingness,"	disgustingnesses
"
corticoefferent,"	corticoefferents
"
cornishwoman,"	cornishwomen
"
hegemon,"	hegemons
"
harpy,"	harpies
"
vithar,"	vithars
"
chirpiness,"	chirpinesses
"
bloodiness,"	bloodinesses
"
forsake,"	forsakes
"
medline,"	medlines
"
success,"	successes
"
lipomatosis,"	lipomatoses
"
euphony,"	euphonies
"
healthiness,"	healthinesses
"
wallet,"	wallets
"
scotswoman,"	scotswomen
"
parquetry,"	parquetries
"
hello,"	helloes
"
egy,"	egies
"
security,"	securities
"
topognosis,"	topognoses
"
melanosis,"	melanoses
"
disfluency,"	disfluencies
"
goy,"	goyim
"
industriousness,"	industriousnesses
"
hemopoiesis,"	hemopoieses
"
inefficacy,"	inefficacies
"
crematory,"	crematories
"
pudginess,"	pudginesses
"
damnatory,"	damnatories
"
companionability,"	companionabilities
"
peach,"	peaches
"
benefactress,"	benefactresses
"
opportuneness,"	opportunenesses
"
worthy,"	worthies
"
lampblack,"	lampblacks
"
spikelike,"	spikelikes
"
bambuseae,"	bambuseaes
"
circularity,"	circularities
"
coir,"	coirs
"
ranidae,"	ranidaes
"
haemosporidia,"	haemosporidias
"
autonomy,"	autonomies
"
mainer,"	mainers
"
pliantness,"	pliantnesses
"
hephaestus,"	hephaestuss
"
laziness,"	lazinesses
"
adjudicatory,"	adjudicatories
"
natriuresis,"	natriureses
"
toecap,"	toecaps
"
jerusalem,"	jerusalems
"
telegraphy,"	telegraphies
"
cicatrix,"	cicatrices
"
atomism,"	atomisms
"
assist,"	assists
"
therewith,"	therewiths
"
spitefulness,"	spitefulnesses
"
gangboard,"	gangboards
"
morbidity,"	morbidities
"
darkness,"	darknesses
"
salability,"	salabilities
"
bitty,"	bitties
"
gambit,"	gambits
"
demonise,"	demonises
"
microscopist,"	microscopists
"
rattail,"	rattails
"
sleeplessness,"	sleeplessnesses
"
tailwind,"	tailwinds
"
sprog,"	sprogs
"
drench,"	drenches
"
preseason,"	preseasons
"
boorishness,"	boorishnesses
"
poleax,"	poleaxes
"
speechless,"	speechlesses
"
logo,"	logoes
"
varix,"	varixes
"
charade,"	charades
"
inhibit,"	inhibits
"
flawless,"	flawlesses
"
trajectory,"	trajectories
"
sketchiness,"	sketchinesses
"
goldenbush,"	goldenbushes
"
wiry,"	wiries
"
tiresomeness,"	tiresomenesses
"
ample,"	amples
"
alderman,"	aldermen
"
gratify,"	gratifies
"
preciseness,"	precisenesses
"
gallimaufry,"	gallimaufries
"
beigel,"	beigels
"
gravel,"	gravel
"
understanding,"	understanding
"
cheapness,"	cheapnesses
"
hemimetaboly,"	hemimetabolies
"
mat,"	mats
"
mayoralty,"	mayoralties
"
ilxxx,"	ilxxxes
"
pantograph,"	pantographs
"
homebody,"	homebodies
"
hypermetropy,"	hypermetropies
"
caveman,"	cavemen
"
multicolor,"	multicolors
"
phylactery,"	phylacteries
"
workbox,"	workboxes
"
respectfulness,"	respectfulnesses
"
garrulousness,"	garrulousnesses
"
disreputability,"	disreputabilities
"
jocundity,"	jocundities
"
gaiety,"	gaieties
"
dankness,"	danknesses
"
haematemesis,"	haematemeses
"
mazopathy,"	mazopathies
"
loaf,"	loaves
"
reenactor,"	reenactors
"
racy,"	racies
"
mediacy,"	mediacies
"
disreputableness,"	disreputablenesses
"
winsomeness,"	winsomenesses
"
recuse,"	recuses
"
homelessness,"	homelessnesses
"
ruggedness,"	ruggednesses
"
roguishness,"	roguishnesses
"
scandal,"	scandals
"
ply,"	plies
"
lucanidae,"	lucanidaes
"
tongue,"	tongues
"
supermarket,"	supermarkets
"
solitariness,"	solitarinesses
"
secondment,"	secondments
"
seasonableness,"	seasonablenesses
"
himmalehs,"	himmalehss
"
fireman,"	firemen
"
diary,"	diaries
"
proximity,"	proximities
"
mosstone,"	mosstones
"
pallidness,"	pallidnesses
"
vinery,"	vineries
"
frowning,"	frownings
"
wonst,"	wonsts
"
mukataa,"	mukataas
"
vestryman,"	vestrymen
"
patina,"	patinas
"
plateletpheresis,"	plateletphereses
"
enterolithiasis,"	enterolithiases
"
frigate,"	frigates
"
haemogenesis,"	haemogeneses
"
circumlocutory,"	circumlocutories
"
offering,"	offerings
"
magnetron,"	magnetrons
"
humin,"	humins
"
venetia,"	venetias
"
putty,"	putties
"
impinge,"	impinges
"
eider,"	eiders
"
bowel,"	bowels
"
knightliness,"	knightlinesses
"
clamour,"	clamours
"
glute,"	glutes
"
tinter,"	tinters
"
horizontality,"	horizontalities
"
phalloplasty,"	phalloplasties
"
endoscopy,"	endoscopies
"
vichy,"	vichies
"
forebrain,"	forebrains
"
chromolithography,"	chromolithographies
"
auxesis,"	auxeses
"
photosynthesis,"	photosyntheses
"
titanosaurus,"	titanosauruss
"
electroplater,"	electroplaters
"
transitivity,"	transitivities
"
faceless,"	facelesses
"
conjunction,"	conjunctions
"
maleness,"	malenesses
"
barye,"	baryes
"
silliness,"	sillinesses
"
crampbark,"	crampbarks
"
fiery,"	fieries
"
chatty,"	chatties
"
allergy,"	allergies
"
protozoology,"	protozoologies
"
paralysis,"	paralyses
"
pithead,"	pitheads
"
vitaceae,"	vitaceaes
"
psychosis,"	psychoses
"
esterify,"	esterifies
"
cutrer,"	cutrers
"
freightage,"	freightages
"
caramel,"	caramels
"
bemoan,"	bemoans
"
bisexuality,"	bisexualities
"
majority,"	majorities
"
impost,"	imposts
"
gibbosity,"	gibbosities
"
trashy,"	trashies
"
holy,"	holies
"
welty,"	welties
"
massiveness,"	massivenesses
"
periapsis,"	periapses
"
homogeny,"	homogenies
"
pitiably,"	pitiablies
"
commonness,"	commonnesses
"
inculpatory,"	inculpatories
"
vireo,"	vireos
"
thesis,"	theses
"
jowly,"	jowlies
"
scurfy,"	scurfies
"
guiltiness,"	guiltinesses
"
expertness,"	expertnesses
"
discoverer,"	discoverers
"
parody,"	parodies
"
ability,"	abilities
"
hemosiderin,"	hemosiderins
"
interchange,"	interchanges
"
hardinggrass,"	hardinggrasses
"
persnickety,"	persnicketies
"
ethnography,"	ethnographies
"
gimpy,"	gimpies
"
preemie,"	preemies
"
drunkenness,"	drunkennesses
"
batman,"	batmen
"
parturiency,"	parturiencies
"
ineffectuality,"	ineffectualities
"
fungibility,"	fungibilities
"
barrenness,"	barrennesses
"
relativize,"	relativizes
"
stiffly,"	stifflies
"
meticulosity,"	meticulosities
"
thirstiness,"	thirstinesses
"
blustery,"	blusteries
"
hagiography,"	hagiographies
"
catchy,"	catchies
"
scaliness,"	scalinesses
"
teeny,"	teenies
"
tillich,"	tilliches
"
dermatobia,"	dermatobias
"
calif,"	califs
"
conakry,"	conakries
"
sassaby,"	sassabies
"
genocide,"	genocides
"
macrozamia,"	macrozamias
"
throttler,"	throttlers
"
cryptology,"	cryptologies
"
sideburn,"	sideburns
"
hourglass,"	hourglasses
"
bloc,"	blocs
"
titfer,"	titfers
"
haustorium,"	haustoriums
"
reconditeness,"	reconditenesses
"
samoan,"	samoans
"
stickiness,"	stickinesses
"
multivalent,"	multivalents
"
putridness,"	putridnesses
"
fibrousness,"	fibrousnesses
"
adman,"	admen
"
commodiousness,"	commodiousnesses
"
straightarrow,"	straightarrows
"
melodrama,"	melodramas
"
cologne,"	colognes
"
rauvolfia,"	rauvolfias
"
exegesis,"	exegeses
"
acephalism,"	acephalisms
"
henry,"	henries
"
wellness,"	wellnesses
"
emendation,"	emendations
"
criminality,"	criminalities
"
slaveless,"	slavelesses
"
monocracy,"	monocracies
"
liveth,"	liveths
"
closeness,"	closenesses
"
poudrin,"	poudrins
"
larceny,"	larcenies
"
glossiness,"	glossinesses
"
metchnikoff,"	metchnikoffs
"
stolidity,"	stolidities
"
sleepiness,"	sleepinesses
"
fairy,"	fairies
"
balloon,"	balloons
"
obliquity,"	obliquities
"
bowery,"	boweries
"
savoriness,"	savorinesses
"
serictery,"	sericteries
"
invoke,"	invokes
"
galveston,"	galvestons
"
rotundity,"	rotundities
"
mimesis,"	mimeses
"
crispin,"	crispins
"
shapelessness,"	shapelessnesses
"
girlishly,"	girlishlies
"
dumbness,"	dumbnesses
"
gloomy,"	gloomies
"
kindergartner,"	kindergartners
"
talentlessness,"	talentlessnesses
"
jerboa,"	jerboas
"
lino,"	linoes
"
calmness,"	calmnesses
"
wideness,"	widenesses
"
gantry,"	gantries
"
thulium,"	thuliums
"
exasperate,"	exasperates
"
dross,"	drosses
"
prematurity,"	prematurities
"
crucifix,"	crucifixes
"
fugleman,"	fuglemen
"
perspicacity,"	perspicacities
"
inspectorship,"	inspectorships
"
paunch,"	paunches
"
mammoth,"	mammoths
"
gage,"	gages
"
thoracentesis,"	thoracenteses
"
ditch,"	ditches
"
shindig,"	shindigs
"
movability,"	movabilities
"
quench,"	quenches
"
centriscidae,"	centriscidaes
"
barbiturate,"	barbiturates
"
immobility,"	immobilities
"
prophesy,"	prophesies
"
embolectomy,"	embolectomies
"
terminus,"	terminuss
"
glory,"	glories
"
addiction,"	addictions
"
sudorific,"	sudorifics
"
characin,"	characins
"
pistoleer,"	pistoleers
"
resistless,"	resistlesses
"
ascendency,"	ascendencies
"
chuddar,"	chuddars
"
emphasis,"	emphases
"
superconductivity,"	superconductivities
"
selfsameness,"	selfsamenesses
"
temporality,"	temporalities
"
convallariaceae,"	convallariaceaes
"
tuna,"	tuna
"
homonymy,"	homonymies
"
paunchy,"	paunchies
"
conventionality,"	conventionalities
"
divisibility,"	divisibilities
"
ascension,"	ascensions
"
cauline,"	caulines
"
aestival,"	aestivals
"
corylopsis,"	corylopses
"
psychophysiology,"	psychophysiologies
"
mindless,"	mindlesses
"
totipotency,"	totipotencies
"
paracentesis,"	paracenteses
"
deputy,"	deputies
"
persistency,"	persistencies
"
bellicosity,"	bellicosities
"
ailuropodidae,"	ailuropodidaes
"
hostler,"	hostlers
"
granularity,"	granularities
"
postulation,"	postulations
"
blazonry,"	blazonries
"
freakishness,"	freakishnesses
"
gibbousness,"	gibbousnesses
"
mx,"	mxes
"
incautiousness,"	incautiousnesses
"
compaction,"	compactions
"
flightless,"	flightlesses
"
fusty,"	fusties
"
millinery,"	millineries
"
dodgy,"	dodgies
"
psychogenesis,"	psychogeneses
"
hugeness,"	hugenesses
"
incontinency,"	incontinencies
"
bolder,"	bolders
"
evermore,"	evermores
"
salmonellosis,"	salmonelloses
"
saintliness,"	saintlinesses
"
washwoman,"	washwomen
"
dichlorodiphenyltrichloroethane,"	dichlorodiphenyltrichloroethanes
"
risibility,"	risibilities
"
haematogenesis,"	haematogeneses
"
criterion,"	criteria
"
deny,"	denies
"
brimless,"	brimlesses
"
andantino,"	andantinoes
"
massachuset,"	massachusets
"
upsurge,"	upsurges
"
valedictory,"	valedictories
"
applewood,"	applewoods
"
thuggery,"	thuggeries
"
mummify,"	mummifies
"
tearlessness,"	tearlessnesses
"
microgauss,"	microgausses
"
wretchedness,"	wretchednesses
"
simultaneousness,"	simultaneousnesses
"
conglobation,"	conglobations
"
prig,"	prigs
"
kyphosis,"	kyphoses
"
baruch,"	baruches
"
conilurus,"	coniluruss
"
presumptuousness,"	presumptuousnesses
"
grouchy,"	grouchies
"
backlash,"	backlashes
"
radiosensitivity,"	radiosensitivities
"
modal,"	modals
"
ceterach,"	ceteraches
"
chase,"	chases
"
petiteness,"	petitenesses
"
earless,"	earlesses
"
epacridaceae,"	epacridaceaes
"
steinman,"	steinmen
"
pusillanimity,"	pusillanimities
"
incubation,"	incubations
"
overtax,"	overtaxes
"
rushy,"	rushies
"
awareness,"	awarenesses
"
commonality,"	commonalities
"
endolymph,"	endolymphs
"
redbrush,"	redbrushes
"
icy,"	icies
"
equerry,"	equerries
"
ptolemy,"	ptolemies
"
wonderberry,"	wonderberries
"
permeation,"	permeations
"
smirch,"	smirches
"
gloominess,"	gloominesses
"
trichroism,"	trichroisms
"
saucy,"	saucies
"
rhabdomancy,"	rhabdomancies
"
ade,"	ades
"
starry,"	starries
"
tessin,"	tessins
"
neocon,"	neocons
"
enormity,"	enormities
"
anhidrosis,"	anhidroses
"
dichroism,"	dichroisms
"
mighty,"	mighties
"
eligibility,"	eligibilities
"
cue,"	cues
"
prosiness,"	prosinesses
"
clueless,"	cluelesses
"
narcosis,"	narcoses
"
modishness,"	modishnesses
"
shortgrass,"	shortgrasses
"
intention,"	intentions
"
reversibility,"	reversibilities
"
stewardship,"	stewardships
"
perfumer,"	perfumers
"
dinghy,"	dinghies
"
twiddler,"	twiddlers
"
cremation,"	cremations
"
shininess,"	shininesses
"
laboriousness,"	laboriousnesses
"
merman,"	mermen
"
paltriness,"	paltrinesses
"
jerkiness,"	jerkinesses
"
cyanohydrin,"	cyanohydrins
"
boggy,"	boggies
"
pastrami,"	pastramis
"
vapoury,"	vapouries
"
hilo,"	hiloes
"
transparentness,"	transparentnesses
"
permutability,"	permutabilities
"
prolixity,"	prolixities
"
sericocarpus,"	sericocarpuss
"
herdsman,"	herdsmen
"
suggest,"	suggests
"
necrobiosis,"	necrobioses
"
coccidioidomycosis,"	coccidioidomycoses
"
arter,"	arters
"
illuminance,"	illuminances
"
belau,"	belaus
"
ductility,"	ductilities
"
monopoly,"	monopolies
"
periphery,"	peripheries
"
hypertrophy,"	hypertrophies
"
leafless,"	leaflesses
"
zoarcidae,"	zoarcidaes
"
richness,"	richnesses
"
peliosis,"	pelioses
"
mycology,"	mycologies
"
picklepuss,"	picklepusses
"
ascendancy,"	ascendancies
"
stir,"	stirs
"
leech,"	leeches
"
tasman,"	tasmen
"
hypochondriasis,"	hypochondriases
"
yardgrass,"	yardgrasses
"
peptide,"	peptides
"
nonperson,"	nonpeople
"
unintelligibility,"	unintelligibilities
"
wintry,"	wintries
"
derris,"	derriss
"
keratoscopy,"	keratoscopies
"
excitableness,"	excitablenesses
"
celerity,"	celerities
"
launch,"	launches
"
roll,"	rolls
"
bottomlessness,"	bottomlessnesses
"
cenogenesis,"	cenogeneses
"
jotter,"	jotters
"
sanity,"	sanities
"
sterility,"	sterilities
"
ptychozoon,"	ptychozoa
"
indecorousness,"	indecorousnesses
"
personalty,"	personalties
"
droz,"	drozs
"
cankerworm,"	cankerworms
"
admissibility,"	admissibilities
"
methedrine,"	methedrines
"
trustworthiness,"	trustworthinesses
"
diploma,"	diplomata
"
chateura,"	chateuras
"
ny,"	nies
"
development,"	developments
"
apoapsis,"	apoapses
"
beany,"	beanies
"
shrunk,"	shrunks
"
muscovy,"	muscovies
"
ecology,"	ecologies
"
caster,"	casters
"
domineeringness,"	domineeringnesses
"
bloodthirstiness,"	bloodthirstinesses
"
cowman,"	cowmen
"
transfix,"	transfixes
"
smokeless,"	smokelesses
"
tb,"	tbs
"
oldness,"	oldnesses
"
spicemill,"	spicemills
"
prolepsis,"	prolepses
"
sarah,"	sarahs
"
antiphony,"	antiphonies
"
cynoglossum,"	cynoglossums
"
chintzy,"	chintzies
"
borsch,"	borsches
"
reinterpretation,"	reinterpretations
"
inappropriateness,"	inappropriatenesses
"
tiffany,"	tiffanies
"
leningrad,"	leningrads
"
pseudocyesis,"	pseudocyeses
"
ruly,"	rulies
"
clichy,"	clichies
"
swanky,"	swankies
"
reefy,"	reefies
"
phaethon,"	phaethons
"
accommodation,"	accommodations
"
hyperotreta,"	hyperotretas
"
suitability,"	suitabilities
"
impracticality,"	impracticalities
"
solemnity,"	solemnities
"
rancidness,"	rancidnesses
"
pseudobombax,"	pseudobombaxes
"
overstay,"	overstays
"
mbabane,"	mbabanes
"
seize,"	seizes
"
incapacity,"	incapacities
"
haemoglobinopathy,"	haemoglobinopathies
"
brierpatch,"	brierpatches
"
hygroton,"	hygrotons
"
lamiaceae,"	lamiaceaes
"
alternation,"	alternations
"
apar,"	apars
"
functionality,"	functionalities
"
tientsin,"	tientsins
"
potlatch,"	potlatches
"
stomach,"	stomaches
"
stylishness,"	stylishnesses
"
hierarch,"	hierarches
"
twit,"	twits
"
popularism,"	popularisms
"
preternaturalness,"	preternaturalnesses
"
geophagy,"	geophagies
"
rodent,"	rodents
"
safecracker,"	safecrackers
"
souari,"	souaris
"
typology,"	typologies
"
absoluteness,"	absolutenesses
"
mansart,"	mansarts
"
porch,"	porches
"
poltroonery,"	poltrooneries
"
favouritism,"	favouritisms
"
forefoot,"	forefeet
"
homestretch,"	homestretches
"
reflation,"	reflations
"
brawny,"	brawnies
"
colonization,"	colonizations
"
fortnight,"	fortnights
"
bicuspidate,"	bicuspidates
"
palaetiology,"	palaetiologies
"
graphology,"	graphologies
"
gravidity,"	gravidities
"
fly,"	flies
"
cranny,"	crannies
"
gully,"	gullies
"
gullibility,"	gullibilities
"
swatter,"	swatters
"
intractability,"	intractabilities
"
myrica,"	myricas
"
ridiculousness,"	ridiculousnesses
"
tyranny,"	tyrannies
"
moonless,"	moonlesses
"
mountaineer,"	mountaineers
"
brummy,"	brummies
"
crybaby,"	crybabies
"
ichthyolatry,"	ichthyolatries
"
prosody,"	prosodies
"
sketchy,"	sketchies
"
dogy,"	dogies
"
sallowness,"	sallownesses
"
angelus,"	angeluss
"
sharedata,"	sharedatas
"
aggress,"	aggresses
"
embayment,"	embayments
"
backless,"	backlesses
"
adversary,"	adversaries
"
eurocurrency,"	eurocurrencies
"
phosphine,"	phosphines
"
pernickety,"	pernicketies
"
volatility,"	volatilities
"
sensualism,"	sensualisms
"
vasectomy,"	vasectomies
"
production,"	productions
"
archivist,"	archivists
"
motility,"	motilities
"
bloodthirsty,"	bloodthirsties
"
arcane,"	arcanes
"
yuman,"	yumen
"
acuity,"	acuities
"
traditionality,"	traditionalities
"
scorch,"	scorches
"
hurriedness,"	hurriednesses
"
goodness,"	goodnesses
"
ideogram,"	ideograms
"
intemperateness,"	intemperatenesses
"
paleness,"	palenesses
"
chaplaincy,"	chaplaincies
"
meagreness,"	meagrenesses
"
inopportuneness,"	inopportunenesses
"
agronomy,"	agronomies
"
helwingia,"	helwingias
"
indestructibility,"	indestructibilities
"
hm,"	hms
"
kvass,"	kvasses
"
nothingness,"	nothingnesses
"
caliphate,"	caliphates
"
succinctness,"	succinctnesses
"
skink,"	skinks
"
coventry,"	coventries
"
roux,"	rouxes
"
naga,"	nagas
"
schizogony,"	schizogonies
"
slenderness,"	slendernesses
"
dopy,"	dopies
"
oratorio,"	oratorios
"
miss,"	misses
"
pennyweight,"	pennyweights
"
imbecility,"	imbecilities
"
emporium,"	emporia
"
interoperability,"	interoperabilities
"
hereby,"	herebies
"
floridity,"	floridities
"
splasher,"	splashers
"
ghostliness,"	ghostlinesses
"
rawness,"	rawnesses
"
cutch,"	cutches
"
perfumery,"	perfumeries
"
compulsiveness,"	compulsivenesses
"
sedna,"	sednas
"
cosby,"	cosbies
"
painstakingness,"	painstakingnesses
"
ignorantness,"	ignorantnesses
"
toiletry,"	toiletries
"
callisaurus,"	callisauruss
"
beall,"	bealls
"
bagassosis,"	bagassoses
"
ciderpress,"	ciderpresses
"
bounty,"	bounties
"
sigh,"	sighs
"
wrinkleless,"	wrinklelesses
"
isa,"	isas
"
tuner,"	tuners
"
catabiosis,"	catabioses
"
demeter,"	demeters
"
splenectomy,"	splenectomies
"
hamster,"	hamsters
"
hydrothorax,"	hydrothoraxes
"
milkless,"	milklesses
"
smyrna,"	smyrnas
"
fistulina,"	fistulinas
"
lightning,"	lightnings
"
poe,"	poes
"
mensal,"	mensals
"
immediacy,"	immediacies
"
ulema,"	ulemas
"
pony,"	ponies
"
venerability,"	venerabilities
"
jeroboam,"	jeroboams
"
destress,"	destresses
"
slummy,"	slummies
"
allergology,"	allergologies
"
monkey,"	monkeys
"
quantifiability,"	quantifiabilities
"
impartiality,"	impartialities
"
superorder,"	superorders
"
sleuth,"	sleuths
"
homework,"	homework
"
logicality,"	logicalities
"
fathomless,"	fathomlesses
"
crapshoot,"	crapshoots
"
worry,"	worries
"
fretfulness,"	fretfulnesses
"
carboy,"	carboys
"
dishonorableness,"	dishonorablenesses
"
felony,"	felonies
"
pettifoggery,"	pettifoggeries
"
aggressiveness,"	aggressivenesses
"
criticalness,"	criticalnesses
"
dash,"	dashes
"
monolatry,"	monolatries
"
soma,"	somata
"
perilousness,"	perilousnesses
"
sumach,"	sumaches
"
buckshee,"	buckshees
"
friendliness,"	friendlinesses
"
graciousness,"	graciousnesses
"
landmass,"	landmasses
"
ness,"	nesses
"
sphericalness,"	sphericalnesses
"
zinger,"	zingers
"
irishman,"	irishmen
"
crecy,"	crecies
"
esox,"	esoxes
"
haemorrhoidectomy,"	haemorrhoidectomies
"
moony,"	moonies
"
disconnectedness,"	disconnectednesses
"
rigidity,"	rigidities
"
statutory,"	statutories
"
pretermit,"	pretermits
